name,city,district,state,lat,lon,type,description,url
Lingaraj Temple,Bhubaneswar,KHORDHA,ODISHA,20.2381,85.8343,Devotional Places,"The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",https://imgur.com/0FKflzi.jpg
Shanti Stupa Dhauli,Bhubaneswar,KHORDHA,ODISHA,20.1923,85.8394,Devotional Places,"The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",https://imgur.com/tgmwoZr.jpg
Khandagiri  Udayagiri Caves,Bhubaneswar,KHORDHA,ODISHA,20.2569,85.7792,Hills &Caves,"The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",https://i.imgur.com/1WzRAFZ.jpg
Botanical Garden,Bhubaneswar,KHORDHA,ODISHA,20.4021,85.8272,Garden & Parks,"The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",https://imgur.com/0UO0WcT.jpg
Nandankanan zoo,Bhubaneswar,KHORDHA,ODISHA,20.3958,85.826,ZOO & Reservations,"The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",https://i.imgur.com/ulvXq2c.jpg
Barunei Hills,Bhubaneswar,KHORDHA,ODISHA,20.1611,85.6461,Hills & Caves,"The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",https://i.imgur.com/Jq4gSa9.jpg
Maa Barunei Temple ,Bhubaneswar,KHORDHA,ODISHA,20.162,85.6473,Devotional Places,"The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",https://i.imgur.com/t2GOFXR.jpg
Atri Hot Spring,Bhubaneswar,KHORDHA,ODISHA,20.2112,85.5123,Waterfalls & Water Reservoirs,"The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",https://i.imgur.com/dIlvwhS.jpg
Chausathi Jogini Temple,Bhubaneswar,KHORDHA,ODISHA,20.225,85.8787,Devotional Places,"The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",https://i.imgur.com/FOYpgDl.jpg
Ananta Basudeva Temple,Bhubaneswar,KHORDHA,ODISHA,20.2406,85.8358,Devotional Places,"The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",https://i.imgur.com/WdN4fok.jpg
