Place Name,Place Id,State,District,City,Latitude,Longitude,Type,Fee,Hours,Short Description,Long Description,History,Main Image,Other Images
Vaishnodevi Temple,OD_Sundargarh_VaishnodeviTemple,Odisha,Sundargarh,Rourkela,22.2604,84.8536,Religious Sites,NA,NA,Replica of original Temple in Jammu,This Temple is arranged on the head of the Durgapur Hill looking towards Rourkela Steel Plant. The Vaishno Devi Temple at Rourkela is a copy of the first Temple of Vaishnodevi of Jammu(Trikuta Hills).Good area and sanctuary to visit. Condition is extremely cool and alluring. It's a beautiful sanctuary of Vaishno Devi in the mountain. $You have to climb around 500 steps to reach there. Seaters are accessible in the middle of this excursion so anybody can rest if necessary. From temple side you can get a wonderful beautiful perspective on half of Rourkela (as other half stays on the opposite side of the mountain ),"In 2007, the Temple of Goddess Durga, located on the top of the hill, was opened for visitors. During Durga Puja, in the spring and autumn seasons, the Navaratri Festival is celebrated, hundreds of Hindu worshippers come here.",https://i.imgur.com/kSDTZ4Q.jpg,https://i.imgur.com/qUOPRhP.jpg https://i.imgur.com/u0KmoCe.jpg https://i.imgur.com/u0KmoCe.jpg https://i.imgur.com/xKOEi9c.jpg
Mandira Dam,OD_Sundargarh_MandiraDam,Odisha,Sundargarh,Kansbahal,22.2837,84.7761,Dams & Water Reservoirs,NA,NA,A dam on Shankha River meant for industrial use,"It is worked across Sankh stream, found 16 km upstream from Mandira. The water from the dam is utilized for Rourkela Steel Plant. The dam dislodged 2400 families and just 843 were resettled.The store offers sailing offices for vacationers and the closest railroad station is situated in Kansbahal on the Howrah-Mumbai fundamental line of South Eastern Railway. $Rourkela is the nearest intersection station. The dam can be reached from Kansbahal and Rourkela by bike, private vehicles, taxis, auto carts and sporadic transport administration.",Construction of the dam began after 1957. The dam displaced 2400 families and only 843 were resettled.,https://i.imgur.com/gAsVhS1.jpg,https://i.imgur.com/o553deA.jpg https://i.imgur.com/EEuSOIl.jpg https://i.imgur.com/4hMQklU.jpg https://i.imgur.com/XJB5Nzm.jpg
Hanuman Vatika,OD_Sundargarh_HanumanVatika,Odisha,Sundargarh,Rourkela,22.2217,84.8315,Religious Sites,NA,NA,A garden consisting many temple along with a hight of 74.9 feet Statue of Lord Hanuman,"This Vatika(Garden) mostly famous for its Statue of Lord Hanuman  of 74.9 feet which is 9th tallest statue in india.Consistently on 23 February it commends its establishment day. Different sanctuaries inside the premises are 12 Jyotirlingas, Batta Mangala Devi, Sarala Devi Temple, Jagannath Temple, Lakshmi, and Santoshi Mata Temple. One Kalyan Mandap is worked to oblige open social events and capacities. $The Hanuman sculpture was worked by Sri Lakshman Swami of Hyderabad. The recently settled Sai Baba sanctuary has become the most loved of the enthusiasts, the symbol of which is fundamentally the same as the icon of the one arranged in Shirdi Sai Baba.","The Hanuman statue was built by Sri Lakshman Swami of Hyderabad.. The Vatika and the statue was Inaugurated in the year 1994 by the then Chief Minister of Orissa, Biju Patnaik.",https://i.imgur.com/fhxr1tx.jpg,https://i.imgur.com/Ate6PVW.jpg
Khandadhar Waterfalls,OD_Sundargarh_KhandadharWaterfalls,Odisha,Sundargarh,Bonaigarh,21.7609,85.1168,Waterfalls,NA,NA,"A 244 meter height water fall look like ""Khanda""(Sword)","It is the 12th highest waterfall in India and second tallest waterfall in Odisha.It seems as though a blade that is the reason it named as khanda(sword) dhara waterfall. The Korapani Nala, a little stream, plunges from a stature of 244 meters (801 ft) in a solitary drop.ts hard to portray the magnificence of this waterfall on words. Probably the best waterfall you will discover in Odisha. $One thing you will see occurrence is greenery, any place you look you will see excellence of the nature. You will appreciate trekking, outside air. Best sights to take pictures. Extraordinary spot for cookout. It's risky to scrub down,","""A Pauri Bhuiya (Ancient neighborhood Tribe) legend talks about how their mountains came to be so big-hearted. The Sundergarh part of the network was once controlled by a greedy goddess named Kankala Devi, who devoured trees, soil and everything else. $Despondently, the Pauri Bhuiya set her on a stone, which she ate through also—making a profound opening from which spilled out the Khandadhara (split-rock cascade). So they had water. At that point a couple from the network went to see family members at the eastern, or Keonjhar, end of the Khandadhar mountain go. Their planned hosts were away however a heap of grains had been left outside and, incredibly, not even the winged animals were eating it. Inside the store, the couple found a little goddess, Kanta Kumari, defender of the locale's success. They took her and took her back to Sundergarh, thus her abundance turned into theirs",https://i.imgur.com/LVLhpu9.jpg,https://i.imgur.com/ucfBmSq.jpg https://i.imgur.com/FrofmjK.jpg https://i.imgur.com/7gzLZRL.jpg https://i.imgur.com/MdpAxTd.jpg https://i.imgur.com/5PFnALA.jpg
Vedvyas Temple,OD_Sundargarh_VedvyasTemple,Odisha,Sundargarh,Rourkela,22.2366,84.7971,Religious Sites,NA,NA,Busy Hindu temple situated in scenic surrounds near the confluence of 3 rivers,"This spot is Situated on the intersection of the waterway Sankha and Koel, which from that point from the stream Brahmani, Vedavyas isn't just a position of characteristic magnificence yet in addition is viewed as a Tritha a position of strict holiness. A dunk in the juncture is gave a false representation of to wash away all transgressions. . $There are three sanctuaries here, two devoted to Lord Siva and one to Rama.You can locate that gliding stone that was utilized to manufacture bridge(Ramasetu) to SRI LANKA during RAm-Ravan war. Great to visit during Maha Siva Ratri.","Tradition has it that Vyasadeva, the reputed sage, lived here and composed the great epic Mahabharat",NA,NA
Hirakud Dam,OD_Sambalpur_HirakudDam,Odisha,Sambalpur,Sambalpur,21.5306,83.8705,Dams & Water Reservoirs,NA,NA,One of the first major multipurpose river valley projects started after India's independence,"The longest earthen dam of the world stands in its lone majesty across the great river Mahanadi, which drains an area of 1,33,090 Sq.Kms., more than twice the area of Shrilanka. The bulk of Hirakud dam contains earth, concrete and masonry materials sufficient to make a road 8 metres wide and pave it from Kanyakumari to Kashmir and Amritsar to Dibrugarh in Assam. $From horizon to horizon the resorvoir forms the largest artificial lake in Asia with an area of 746 Sq.Kms. and a shore line over 640 Kms. A twenty-one Kilometres drive on the dyke offers a unique experience of calm serenity and majesty of nature. One can enjoy the sight of mighty Hirakud dam and the fantastic expanse of water from the top of the revolving minarate called Gandhi Minar.","Before the devastating floods of 1936, Sir M. Visveswararya proposed a detailed investigation for storage reservoirs in the Mahanadi basin to tackle the problem of floods in the Mahanadi delta. In 1945, under the chairmanship of Dr. B. R. Ambedkar, the Member of Labour, it was decided to invest in the potential benefits of regulating the Mahanadi for multi-purpose use. The Central Waterways, Irrigation and Navigation Commission took up the work. On 15 March 1946, Sir Hawthorne Lewis, the Governor of Odisha, laid the foundation stone of the Hirakud Dam. A project report was submitted to the government in June 1947. Pandit Jawaharlal Nehru laid the first batch of concrete on 12 April 1948. $In 1952, Mazumdar Committee was appointed by the government to oversee the soundness and technical feasibility of the project. The committee has envisaged costs of ₹92.80 crore for the project and that the construction of the main dam would be complete by June 1955. It also said that by 1954–55 a total of 1,347,000 acres (545,000 ha) would be irrigated and that 48 GW of electric power would be generated. However, the dam was completed in 1953 and was formally inaugurated by Prime Minister Jawaharlal Nehru on 13 January 1957. The total cost of the project was ₹1,000.2 million (equivalent to ₹81 billion or US$1.1 billion in 2019) in 1957. Power generation along with agricultural irrigation started in 1956, achieving full potential in 1966. ",https://i.imgur.com/cPia6QQ.jpg,https://i.imgur.com/52bEJxL.jpg https://i.imgur.com/xtXD9Dh.jpg https://i.imgur.com/uAs5lsl.jpg https://i.imgur.com/0cdPFU9.jpg https://i.imgur.com/gBz0tjA.jpg
Ghanteswari Temple,OD_Sambalpur_GhanteswariTemple,Odisha,Sambalpur,Sambalpur,21.3547,83.9192,Religious Sites,NA,NA,"People here offer bells to the goddess Ghanteswari or the Deity of Bells, after fulfillment of their wishes","Maa Ghanteswari Temple is one of the most holiest and beautiful place in Sambalpur. Many pilgrims from across the state visit the temple. It is known as the 'lighthouse without light', built by the early sailors, for whom the bells served as warning against heavy winds. The special significance of this place lies in the great number of small bells hanging all around.","It temple was playing an important role for navigation in the past. It was called a light house without light. The place got its name from goddess Ghanteswari. Earlier there were some big size bells on this spot and with the help of wind those were creating enormous sound which made the navigators aware of this treacherous spot and they never came near it. This area being the conglomeration of three streams of water of river Mahanadi, the water current here is very treacherous forming a whirlpool. Due to this many boats were drowned while nearing this spot. Here the wind blows quite heavily and with the help of it the bells were producing sound. Now after the construction of Hirakud dam, this spot became safer.",https://i.imgur.com/z2rXyMs.jpg,https://i.imgur.com/kqZNdi0.jpg https://i.imgur.com/aOzUvmi.jpg https://i.imgur.com/3Xq0TtO.jpg https://i.imgur.com/yq4zex8.jpg https://i.imgur.com/z35rbW9.jpg
Gudguda Waterfall,OD_Sambalpur_GudgudaWaterfall,Odisha,Sambalpur,Sambalpur,21.7359,84.623,Waterfalls,NA,NA,"Nice place for hangout with natural beauty, mountain, waterfall","This is one of the small but beautiful waterfalls of Sambalpur district, Odisha. It is a Cascade waterfall meaning two waterfalls back to back. Waterfall sprinkles out from the Gudguda mountain, however streams doesn't turns into any river. This Place has three Step by step waterfalls, these Waterfall have been beautifully carved themselves through the rocks. This Place is also good for Mountain Trekking.","Gudguda, one of the most beautiful Picnic Spot. Though Gudguda comes under Sambalpur District, Many peoples flock this place from neighboring towns like Deogarh, Jharsuguda, Sambalpur and even Rourkela too. This place is fully covered with dense forest. As soon as you are about to enter the spot, you can find many Mango and Lichi Orchards on both side of the roads. You can also hear chirping of birds, gushing sound of waterfall etc. ",https://i.imgur.com/GjHkuvF.jpg,https://i.imgur.com/somwhuD.jpg https://i.imgur.com/ifaCHLc.jpg https://i.imgur.com/BmQP6iB.jpg 
Huma Temple,OD_Sambalpur_HumaTemple,Odisha,Sambalpur,Sambalpur,21.2808,83.9123,Religious Sites,NA,NA,The Leaning Temple of Huma in India is one of only two leaning temples in the world,"Huma is a place of pilgrimage, known for its leaning temple of lord shiva and is also visited by strangers out of curosity to see the different kind of fish in the river. The presiding diety is Bimaleswar Siva. The special type of fish found here are called as Kudo fish. They are said to be so tame that they will eat sweets and other foods from the hands of those who bathe close to the temple. During auspicious days they are called by their names and given the prasad of the God. Here nobody tries to catch them as they are believed to be the assets of the God.","The Huma village contains the Leaning temple dedicated to Lord Siva, which was built in the reign of Baliar Singh, the fifth Raja of Sambalpur. The worship of Siva is said to have been initiated by a milkman (Gauda), who daily crossed the Mahanadi to a place on the bank where the underlying rock croped out. Here he daily offered his dole of milk, which was at once drunk up by the rock, and this miraculous circumstance led to enquiries, which ended in the construction of the present temple. $The surprising thing is, the main temple tilted to one direction and other small temples tilted to some other direction. And within the temple complex i.e. within the boundaries of temple, everything found to be in tilted condition including the boundaries. Now again the angle of inclination is not changed since last 40/50 years as said by the villagers and priests. However the structure is tilted may be due to some geological reason, may be the earth crust is un-even in structure. About the inclination, its not possible to judge whether the angle is in a increasing trend or not. For that some sort of measurement mechanism should be given to analyse it very correctly as it is done in leaning tower of Pissa.",https://i.imgur.com/rDwFlJg.jpg,https://i.imgur.com/U2EH4de.jpg  https://i.imgur.com/EJA6mag.jpg https://i.imgur.com/4HrQWkZ.jpg
Samaleswari Temple,OD_Sambalpur_SamaleswariTemple,Odisha,Sambalpur,Sambalpur,21.474,83.9591,Religious Sites,NA,NA,A holy place showcasing the heritage of sambalpur,"Shree Shree Samaleswari, the presiding deity of Sambalpur, is a strong religious force in western part of Orissa and Chhattisgarh state of India. On the bank of the river Mahanadi the mother goddess Samaleswari is worshipped from ancient times as Jagatjanani, Adishakti, Mahalaxmi and Mahasaraswati. The region in which the temple is situated has a rich cultural heritage. $Sambalpur region is popularly known as Hirakhanda from ancient times. Ptolemy has described the place as Sambalak, Acording to Tavernir, the French traveller, and Edward Gibbon, the English historian, diamonds were exported to Rome from Sambalpur.","The Samaleswari temple is of Sandhara order (These types of the temples have a square sanctum enclosed by a gallery of pillars meant for Pradakshina). Thus, the Sandhara temples have a Pradakshinapatha is built of a kind of stone durable as granite, cemented with lime mortar, the whole building is plastered, but in the course of time the surface has become mouldy. $The temple comprises two separate structures. The square sanctum sanctorum enshrining the deity is four step below the 10-foot-wide (3.0 m) covered circumambulation, which is supported by 12 stone pillars. Eleven parswa devis (side Goddess), are embedded on the outer wall of the sanctum, so that the devotees can worship those deities during parikarma through the vaulted circumambulation. The Idol of Shree Shree Samalai Devi consists of a large block of Granite rock with an inverted, trunk like projection at the bottom. A shallow cut on her ""Baraha"" like face symbolises her mouth. ",https://i.imgur.com/6Zqpn9q.jpg,https://i.imgur.com/nil5jn9.jpg https://i.imgur.com/TqmVGef.jpg https://i.imgur.com/9AAQAOY.jpg https://i.imgur.com/o2Y6Elj.jpg
