name,city,district,state,lat,lon,type,description short,description long,History,image url main,image url all
Lingaraj Temple,Bhubaneswar,KHORDHA,ODISHA,20.233721,85.838676,Devotional Places,"Ancient Hindu temple compound featuring carved stone towers, courtyards & numerous shrines. ","The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://imgur.com/0FKflzi.jpg,i
Shanti Stupa Dhauli,Bhubaneswar,KHORDHA,ODISHA,20.1923,85.8394,Devotional Places,Striking white peace pagoda & Buddhist Shrine constructed atop Dhauli Hill in 1972,"The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://imgur.com/tgmwoZr.jpg,i
Khandagiri  Udayagiri Caves,Bhubaneswar,KHORDHA,ODISHA,20.2569,85.7792,Hills &Caves,"A testimonial to the architectural genius of ancient India representing messages of love, compassion and religious tolerance. These wonders of India date back to the first century BC.","The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/1WzRAFZ.jpg,i
Botanical Garden,Bhubaneswar,KHORDHA,ODISHA,20.4021,85.8272,Garden & Parks,The state botanical park is an amazing place for a day out with family or friends. It houses many beautiful and unique landscapes.,"The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://imgur.com/0UO0WcT.jpg,i
Nandankanan zoo,Bhubaneswar,KHORDHA,ODISHA,20.3958,85.826,ZOO & Reservations,"Zoo with 1500+ animals, including white tigers & pangolins complemented by botanical garden and scenic lake.","The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/ulvXq2c.jpg,i
Barunei Hills,Bhubaneswar,KHORDHA,ODISHA,20.1611,85.6461,Hills & Caves,A road trip to the top of this hill witnesses the beauty and calmness of nature,"The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/Jq4gSa9.jpg,i
Maa Barunei Temple ,Bhubaneswar,KHORDHA,ODISHA,20.162,85.6473,Devotional Places,Maa Barunei Temple is dedicated to the hindu goddess Barunei - a manifestation of Shakti.,"The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/t2GOFXR.jpg,i
Atri Hot Spring,Bhubaneswar,KHORDHA,ODISHA,20.2112,85.5123,Waterfalls & Water Reservoirs,A natural hot water spring to soothe the skin and mind. The hot water is said to be created because of the radioactive activity underground.,"The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/dIlvwhS.jpg,i
Chausathi Jogini Temple,Bhubaneswar,KHORDHA,ODISHA,20.225,85.8787,Devotional Places,One of the lesser known architectural marvels and a must visit place to relish the superlative level of Indian architecture.,"The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/FOYpgDl.jpg,i
Ananta Basudeva Temple,Bhubaneswar,KHORDHA,ODISHA,20.2406,85.8358,Devotional Places,"Prominent 13th century hindu temple featuring idols of Lord Krishna, Balarama & Subhadra","The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/WdN4fok.jpg,i
Shree Ram Mandir,Bhubaneswar,KHORDHA,ODISHA,20.2774,85.843,Devotional Places,"The heart temple of the Temple city - housing Lord Rama, Lord Laxman & goddess Sita.","The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/rpNVlJL.jpg,i
Mukteswara Temple,Bhubaneswar,KHORDHA,ODISHA,20.2427,85.8404,Devotional Places,"Buddhist temple constructed in the 10th century, known for its ornamental arched gateway.","The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/w0KoUzv.jpg,i
Iskcon Temple,Bhubaneswar,KHORDHA,ODISHA,20.2891,85.8133,Devotional Places,A holy and peaceful environment that cherishes your heart as well as stomach with its food delicacies.,"The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/Ajd8V6b.jpg,i
Maa Sikharchandi temple,Bhubaneswar,KHORDHA,ODISHA,20.3411,85.8285,Devotional Places,"Situated amidst the lush green trees, an ideal place to spend peaceful time keeping the maddening city life at bay.","The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/rggqi22.jpg,i
Pathani Samanta Planetarium,Bhubaneswar,KHORDHA,ODISHA,20.2981,85.8322,Education & History,Seek the stars and beyod with the astronomical displays being cast onto the roof of this modernistic government run institution.,"The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/5eO2CHx.jpg,i
Bindusagar ,Bhubaneswar,KHORDHA,ODISHA,20.2422,85.8322,Waterfalls & Water Reservoirs,The largest water pond of the city was known to be created by Lord Shiva by bringing water from all holy plcaes to quench the thirst of goddess Parvati.,"The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/4Hg8l1F.jpg,i
Chandaka elephant Sanctury,Bhubaneswar,KHORDHA,ODISHA,20.3683,85.7647,Zoo & Reservations,"A reserve forest in the middle of the busy city, a wonder in itself. Beaware of the truncked nosed though.","The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/JIb82Kk.jpg,i
Odisha State Museum,Bhubaneswar,KHORDHA,ODISHA,20.2563,85.8411,Education & History,"Large museum with many historical artifacts, natural history exhibits, art & a library.","The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/JFYnIJU.jpg,i
Regional Science Center,Bhubaneswar,KHORDHA,ODISHA,20.2939,85.8325,Education & History,"Unassuming science museum showcasing interactive displays, plus a garden area with ducks.","The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/9LO3QOV.jpg,i
